ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
75,The Fault in Our Stars,"Green, John",2012,all rights reserved,Dutton Books; Penguin Group (USA) Inc.,The_Fault_in_Our_Stars,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Fault%20in%20Our%20Stars%20-%20John%20Green.epub
76,The Third Man,"Greene, Graham",1950,all rights reserved,Vintage Digital; Vintage Press,The_Third_Man,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Third%20Man%20-%20Graham%20Greene.epub
77,The Confessions of Max Tivoli,"Greer, Andrew Sean",2004,all rights reserved,"Picador; Farrar, Straus and Giroux",The_Confessions_of_Max_Tivoli,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Confessions%20of%20Max%20Tivoli%20-%20Andrew%20Sean%20Greer.epub
78,The Fugitive,"Grisham, John",2015,all rights reserved,Dutton Children's Books; Penguin Group (USA) LLC,The_Fugitive,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Fugitive%20-%20John%20Grisham.epub
79,The Curious Incident of the Dog in the Night-Time,"Haddon, Mark",2003,all rights reserved,Vintage Books; Random House of Canada Limited,The_Curious_Incident_of_the_Dog_in_the_Night-Time,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Curious%20Incident%20of%20the%20Dog%20in%20the%20Night-Time%20-%20Mark%20Haddon.epub
80,Migrations to Solitude,"Halpern, Sue",1992,all rights reserved,Pantheon Books; Random House of Canada Limited; Vintage Books,Migrations_to_Solitude,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Sue%20Halpern%20-%20Migrations%20to%20Solitude.epub
81,Uncommon Type,"Hanks, Tom",2017,all rights reserved,Alfred A. Knopf,Uncommon_Type,TRUE,https://the-eye.eu/public/Books/Bibliotik/U/Uncommon%20Type%20-%20Tom%20Hanks.epub
82,Buzz,"Hanson, Thor",2018,all rights reserved,Icon Books Ltd; Basic Books,Buzz,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Buzz%20-%20Thor%20Hanson.epub
83,Requiem for the Sun,"Haydon, Elizabeth",2002,all rights reserved,"Tor Books; Tom Doherty Associates, LLC",Requiem_for_the_Sun,TRUE,https://the-eye.eu/public/Books/Bibliotik/R/Requiem%20for%20the%20Sun%20-%20Elizabeth%20Haydon.epub
84,Catch-22,"Heller, Joseph",1961,all rights reserved,Simon & Schuster Paperbacks; Simon & Schuster,Catch-22,FALSE,https://the-eye.eu/public/Books/Bibliotik/C/Catch-22%20-%20Joseph%20Heller.epub
85,The Old Man and the Sea,"Hemingway, Ernest",1952,all rights reserved,Harper Perennial Classics; HarperCollins Publishers (Canada) Ltd.,The_Old_Man_and_the_Sea,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Old%20Man%20and%20the%20Sea%20-%20Ernest%20Hemingway.epub
86,Life on Air,"Hendy, David",2007,all rights reserved,Oxford University Press; Oxford University Press Inc.,Life_on_Air,TRUE,https://the-eye.eu/public/Books/Bibliotik/L/Life%20on%20Air%20-%20Hendy%2C%20David%3B.epub
87,Great Hair Days,"Hersheson, Luke",2018,all rights reserved,Ebury Press; Penguin Random House,Great_Hair_Days,TRUE,https://the-eye.eu/public/Books/Bibliotik/G/Great%20Hair%20Days%20-%20Luke%20Hersheson.epub
88,Graft,"Hill, Matt",2016,all rights reserved,Angry Robot; Watkins Media Ltd,Graft,TRUE,https://the-eye.eu/public/Books/Bibliotik/G/Graft%20-%20Matt%20Hill.epub
