ID,Book,Author,Year First Published,Status,Books3 Publisher,bibtex name,Random,Books3 manifest entry
158,The Pretender,"Ruskin, Marc",2017,all rights reserved,Thomas Dunne Books; St. Martin's Press,The_Pretender,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Pretender%20-%20Marc%20Ruskin.epub
159,Toscanini,"Sachs, Harvey",1978,all rights reserved,"Liveright Publishing Corporation; W. W. Norton & Company, Inc.",Toscanini,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/Toscanini%20-%20Harvey%20Sachs.epub
160,Cosmos,"Sagan, Carl",1980,all rights reserved,Ballantine Books; Random House of Canada Limited,Cosmos,FALSE,https://the-eye.eu/public/Books/Bibliotik/C/Cosmos%20-%20Carl%20Sagan.epub
161,Middle India,"Sahni, Bhisham",2001,all rights reserved,Penguin Books India Pvt. Ltd,Middle_India,TRUE,https://the-eye.eu/public/Books/Bibliotik/M/Middle%20India%20%28Penguin%29%20-%20Bhisam%20Sahni.epub
162,The Catcher in the Rye,"Salinger, J. D.",1951,all rights reserved,"Little, Brown and Company",The_Catcher_in_the_Rye,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Catcher%20in%20the%20Rye%20-%20J.%20D.%20Salinger.epub
163,Lean in,"Sandberg, Sheryl",2013,all rights reserved,Alfred A. Knopf; Random House of Canada Limited,Lean_In,FALSE,https://the-eye.eu/public/Books/Bibliotik/L/Lean%20In%20-%20Sheryl%20Sandberg.epub
164,The DevOps Adoption Playbook,"Sharma, Sanjeev",2017,all rights reserved,"John Wiley & Sons, Inc.",The_DevOps_Adoption_Playbook,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20DevOps%20Adoption%20Playbook%202017%20-%20Sharma%2C%20Sanjeev%3B.epub
165,Frankenstein,"Shelley, Mary",1818,public domain,Wordsworth Classics,Frankenstein,FALSE,https://the-eye.eu/public/Books/Bibliotik/F/Frankenstein%20-%20Mary%20Shelley.epub
166,Sally Ride: America's First Woman in Space,"Sherr, Lynn",2014,all rights reserved,Simon & Schuster,Sally_Ride_America_s_First_Woman_in_Space,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Sally%20Ride_%20America%27s%20First%20Woman%20in%20Space%20-%20Lynn%20Sherr.epub
167,A Perfectly Good Family,"Shriver, Lionel",1996,all rights reserved,HarperCollins Publishers Inc.,A_Perfectly_Good_Family,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Perfectly%20Good%20Family%2C%20A%20-%20Lionel%20Shriver.epub
168,The Bedwetter,"Silverman, Sarah",2010,all rights reserved,HarperCollins e-books,The_Bedwetter,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Bedwetter%20-%20Sarah%20Silverman.epub
169,On the Road with Bob Dylan,"Sloman, Larry",1978,all rights reserved,Three Rivers Press; Bantam Books,On_the_Road_with_Bob_Dylan,TRUE,https://the-eye.eu/public/Books/Bibliotik/O/On%20the%20Road%20with%20Bob%20Dylan%20-%20Larry%20Sloman.epub
170,The Night Children,"Smith, Alexander Gordon",2008,all rights reserved,Macmillan,The_Night_Children,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Night%20Children%20-%20Alexander%20Gordon%20Smith.epub
171,White Teeth,"Smith, Zadie",2000,all rights reserved,Vintage International,White_Teeth,FALSE,https://the-eye.eu/public/Books/Bibliotik/S/Smith%2C%20Zadie%20-%20White%20Teeth%20%28ISBN%209781400075508%29.epub
172,No Visible Bruises,"Snyder, Rachel Louise",2019,all rights reserved,Bloomsbury Publishing Inc.,No_Visible_Bruises,FALSE,https://the-eye.eu/public/Books/Bibliotik/N/No%20Visible%20Bruises%20-%20Rachel%20Louise%20Snyder.epub
173,The Grapes of Wrath,"Steinbeck, John",1939,all rights reserved,Penguin Books; The Viking Press Inc.; William Heinemann Ltd,The_Grapes_of_Wrath,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Grapes%20of%20Wrath%20-%20John%20Steinbeck.epub
174,Jesse James,"Stiles, T. J.",2002,all rights reserved,Vintage Books; Random House of Canada Limited; Alfred A. Knopf,Jesse_James,TRUE,https://the-eye.eu/public/Books/Bibliotik/J/Jesse%20James%20-%20T.J.%20Stiles.epub
175,Zombie Halloween,"Stine, R. L.",2014,all rights reserved,Scholastic Inc.,Zombie_Halloween,FALSE,https://the-eye.eu/public/Books/Bibliotik/Z/Zombie%20Halloween%20-%20R.L.%20Stine.epub
176,Fear of Music,"Stubbs, David",2009,all rights reserved,Zero Books; John Hunt Publishing Ltd.,Fear_of_Music,TRUE,https://the-eye.eu/public/Books/Bibliotik/D/David%20Stubbs%20-%20Fear%20of%20Music.epub
177,Pearl Harbor,"Swanson, Jennifer",2018,all rights reserved,Scholastic Inc.,Pearl_Harbor,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Pearl%20Harbor%20-%20Jennifer%20Swanson.epub
178,Chesapeake Requiem,"Swift, Earl",2018,all rights reserved,HarperCollins Publishers,Chesapeake_Requiem,TRUE,https://the-eye.eu/public/Books/Bibliotik/C/Chesapeake%20Requiem%20-%20Earl%20Swift.epub
179,The Goldfinch,"Tartt, Donna",2013,all rights reserved,"Little, Brown and Company; Hachette Book Group",The_Goldfinch,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Goldfinch-Tartt.epub
180,Unglued,"TerKeurst, Lysa",2012,all rights reserved,Zondervan,Unglued,FALSE,https://the-eye.eu/public/Books/Bibliotik/L/Lysa%20TerKeurst%2C%20Unglued.epub
181,Embraced,"TerKeurst, Lysa",2018,all rights reserved,Thomas Nelson,Embraced,FALSE,https://the-eye.eu/public/Books/Bibliotik/E/Embraced%20-%20Lysa%20Terkeurst.epub
182,Birding with Yeats,"Thomson, Lynn",2014,all rights reserved,House of Anansi Press Inc.,Birding_with_Yeats,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Birding%20with%20Yeats%20-%20Lynn%20Thomson.epub
183,The Hobbit,"Tolkien, J. R. R.",1937,all rights reserved,Houghton Mifflin Harcourt,The_Hobbit,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Hobbit%20%28Houghton%20Mifflin%20Harcourt%29%20%2875th%20Anniversary%20Edition%29%20%5BEpub%5D%20-%20J.R.R.%20Tolkien.epub
184,The Fellowship of the Ring,"Tolkien, J. R. R.",1954,all rights reserved,Houghton Mifflin Harcourt; George Allen & Unwin,The_Fellowship_of_the_Ring,FALSE,https://the-eye.eu/public/Books/Bibliotik/J/J._R._R._Tolkien_-_The_Fellowship_of_the_Ring_Being_the_First_Part_of_The_Lord_of_the_Rings_-_Houghton_Mifflin_Harcourt_-_v4.0615_-_2012_-_RETAIL.epub
185,Tree and Leaf,"Tolkien, J. R. R.",1964,all rights reserved,HarperCollins Publishers,Tree_and_Leaf,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/Tree%20and%20Leaf%20-%20J.%20R.%20R.%20Tolkien.epub
186,Noodles Every Day,"Trang, Corinne",2009,all rights reserved,Chronicle Books LLC,Noodles_Every_Day,TRUE,https://the-eye.eu/public/Books/Bibliotik/N/Noodles%20Every%20Day%20-%20Maura%20McEvoy.epub
187,Billionaire Democracy,"Tyler, George R.",2018,all rights reserved,"BenBella Books, Inc.",Billionaire_Democracy,TRUE,https://the-eye.eu/public/Books/Bibliotik/B/Billionaire%20Democracy%20-%20George%20R.%20Tyler.epub
188,Portugal's Guerrilla Wars in Africa,"Venter, Al J.",2013,all rights reserved,Helion & Company Limited,Portugal_s_Guerrilla_Wars_in_Africa,TRUE,https://the-eye.eu/public/Books/Bibliotik/P/Portugal%27s%20Guerrilla%20Wars%20in%20Africa%20-%20Al%20Venter.epub
189,Slaughterhouse-Five,"Vonnegut, Kurt",1969,all rights reserved,RosettaBooks LLC,Slaughterhouse-Five,TRUE,https://the-eye.eu/public/Books/Bibliotik/S/Slaughterhouse-Five%20-%20Kurt%20Vonnegut%20%28retail%29.epub
190,Animal Rights,"Waldau, Paul",2011,all rights reserved,"Oxford University Press, Inc.",Animal_Rights,TRUE,https://the-eye.eu/public/Books/Bibliotik/A/Animal%20Rights%20-%20Waldau%2C%20Paul.epub
191,Men We Reaped,"Ward, Jesmyn",2013,all rights reserved,Bloomsbury USA,Men_We_Reaped,FALSE,https://the-eye.eu/public/Books/Bibliotik/M/Men%20We%20Reaped%20-%20Jesmyn%20Ward.epub
192,Charlotte's Web,"White, E. B.",1952,all rights reserved,HarperCollins e-books; HarperCollins Publishers Inc.,Charlotte_s_Web,FALSE,https://the-eye.eu/public/Books/Bibliotik/C/Charlotte%27s%20Web%20-%20E.%20B.%20White.epub
193,A Return to Love,"Williamson, Marianne",1992,all rights reserved,HarperCollins Publishers,A_Return_to_Love,FALSE,https://the-eye.eu/public/Books/Bibliotik/M/Marianne%20Williamson%20-%20A%20Return%20to%20Love.epub
194,Another Brooklyn,"Woodson, Jacqueline",2016,all rights reserved,HarperCollins e-books,Another_Brooklyn,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/Another%20Brooklyn%20-%20Jacqueline%20Woodson.epub
195,Brown Girl Dreaming,"Woodson, Jacqueline",2014,all rights reserved,Nancy Paulsen Books; Penguin Group (USA) LLC,Brown_Girl_Dreaming,FALSE,https://the-eye.eu/public/Books/Bibliotik/B/Brown%20Girl%20Dreaming%20-%20Jacqueline%20Woodson.epub
196,A Little Life,"Yanagihara, Hanya",2015,all rights reserved,Doubleday; Random House of Canada Limited,A_Little_Life,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/A%20Little%20Life%20-%20Hanya%20Yanagihara.epub
197,The Art of Bonsai,"Yoshimura, Yuji and Halford, Giovanna M.",1996,all rights reserved,"Tuttle Publishing; Charles E. Tuttle Publishing Co, Inc.",The_Art_of_Bonsai,TRUE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Art%20of%20Bonsai%20-%20Yuji%20Yoshimura.epub
198,A People's History of the United States,"Zinn, Howard",1980,all rights reserved,HarperCollins Publishers; Harper Perennial Modern Classics,A_People_s_History_of_the_United_States,FALSE,https://the-eye.eu/public/Books/Bibliotik/A/A_Peoples_History_of_the_United_States-Zinn.epub
199,The Future of the Internet and How to Stop It,"Zittrain, Jonathan",2008,all rights reserved,Yale University Press,The_Future_of_the_Internet_and_How_to_Stop_It,FALSE,https://the-eye.eu/public/Books/Bibliotik/J/Jonathan%20Zittrain%20-%20The%20Future%20of%20the%20Internet.epub
200,The Book Thief,"Zusak, Markus",2005,all rights reserved,Alfred A. Knopf; Random House of Canada Limited; Picador; Pan Macmillan Pty Ltd.,The_Book_Thief,FALSE,https://the-eye.eu/public/Books/Bibliotik/T/The%20Book%20Thief%20-%20Markus%20Zusak.epub
